molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units
CHEMBL117708,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(N)cc2)cc1,IC50,187.0,nM
CHEMBL156533,CS(=O)(=O)c1ccc(-n2nc(-c3ccc(Cl)cc3)c3c2CCCC3)cc1,IC50,10000.0,nM
CHEMBL111562,COc1ccc(C2=C(c3ccc(S(N)(=O)=O)cc3)CCC2)cc1,IC50,1.995,nM
CHEMBL42561,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,158.49,nM
CHEMBL415895,CS(=O)(=O)c1ccc(-n2cc(C#N)nc2-c2ccc(Cl)cc2)cc1,IC50,229.09,nM
CHEMBL320790,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc3c2OCO3)cc1,IC50,467.74,nM
CHEMBL320784,CC1(C)CC(c2ccc(Cl)cc2)=C(c2ccc(S(C)(=O)=O)cc2)C1,IC50,7.079,nM
CHEMBL322949,CS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(Cl)c3)CCC2)cc1,IC50,30.2,nM
CHEMBL28528,Cc1ccc(-c2c(C#N)cnn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,75.86,nM
CHEMBL29403,Cc1cc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc2c1OCO2,IC50,52.48,nM
CHEMBL314225,NS(=O)(=O)c1ccc(C2=C(c3ccc(F)c(F)c3)CC3(CC3)C2)cc1,IC50,3.02,nM
CHEMBL333170,CCc1ncn(-c2ccc(S(C)(=O)=O)cc2)c1-c1ccc(F)cc1,IC50,10000.0,nM
CHEMBL116343,Cc1ncc(-c2ccc(S(C)(=O)=O)cc2)n1-c1ccc(F)cc1,IC50,51.0,nM
CHEMBL156256,Clc1ccc(-c2nn(-c3ccccc3)c3c2CCCC3)cc1,IC50,620.0,nM
CHEMBL155887,COc1ccc(-c2nn(-c3ccccc3)c3c2CCCCC3)cc1,IC50,1240.0,nM
CHEMBL46712,Cc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,IC50,60.26,nM
CHEMBL42094,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc(C(F)(F)F)c2)cc1,IC50,208.93,nM
CHEMBL42398,Cc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)c1,IC50,30.2,nM
CHEMBL43331,COc1c(C)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1C,IC50,724.44,nM
CHEMBL54370,Cc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,3.981,nM
CHEMBL29717,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)c(Cl)c2)cc1,IC50,15.14,nM
CHEMBL281978,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc(Cl)cc2Cl)cc1,IC50,56.23,nM
CHEMBL282301,NS(=O)(=O)c1ccc(-n2ncc(Cl)c2-c2ccccc2)cc1,IC50,48.98,nM
CHEMBL285335,NS(=O)(=O)c1ccc(-n2nc(CF)cc2-c2ccccc2)cc1,IC50,199.53,nM
CHEMBL29500,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(c2)CCC3)cc1,IC50,30.9,nM
CHEMBL88550,COc1ccc(C2=C(c3ccc(S(C)(=O)=O)cc3)CC3(CC3)C2)cc1F,IC50,10.0,nM
CHEMBL326577,CS(=O)(=O)c1ccc(-n2cnc(Br)c2-c2ccc(F)cc2)cc1,IC50,36.0,nM
CHEMBL324957,Cc1ncn(-c2ccc(S(C)(=O)=O)cc2)c1-c1ccc(F)cc1,IC50,144.0,nM
CHEMBL117528,COc1ccc(-c2c(Cl)ncn2-c2ccc(S(C)(=O)=O)cc2)c(F)c1,IC50,15.0,nM
CHEMBL110846,NS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)c(F)c3)CCC2)cc1,IC50,169.82,nM
CHEMBL42225,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccccc2)cc1,IC50,120.23,nM
CHEMBL42996,CN(C)c1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,707.95,nM
CHEMBL296515,CS(=O)(=O)c1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,5754.4,nM
CHEMBL296984,NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccccc2)cc1,IC50,39.81,nM
CHEMBL42709,Cc1cc(Cl)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)c1,IC50,39.81,nM
CHEMBL326639,Cc1nc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cs1,IC50,933.25,nM
CHEMBL109030,CS(=O)(=O)c1ccc(C2=C(c3ccc(C(F)(F)F)cc3)CCC2)cc1,IC50,870.96,nM
CHEMBL29445,NS(=O)(=O)c1ccc(-n2nc(C(F)F)cc2-c2ccccc2)cc1,IC50,128.82,nM
CHEMBL29842,COc1c(C(F)(F)F)nn(-c2ccc(S(N)(=O)=O)cc2)c1-c1ccccc1,IC50,79.43,nM
CHEMBL29469,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccc3c(c2)CCCS3)cc1,IC50,229.09,nM
CHEMBL324312,CCOc1ccc(-c2c(Cl)ncn2-c2ccc(S(N)(=O)=O)cc2)cc1,IC50,2.0,nM
CHEMBL42175,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cccc(Cl)c2)cc1,IC50,60.26,nM
CHEMBL44468,COc1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,IC50,346.74,nM
CHEMBL43645,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccccc2F)cc1,IC50,398.11,nM
CHEMBL44926,NS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccccc2F)cc1,IC50,100.0,nM
CHEMBL42223,COc1cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)ccc1Cl,IC50,251.19,nM
CHEMBL43493,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1C,IC50,331.13,nM
CHEMBL110574,Cc1ncccc1-c1nc(C(F)(F)F)cn1-c1ccc(S(C)(=O)=O)cc1,IC50,9549.93,nM
CHEMBL110382,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2cc(Br)cs2)cc1,IC50,25.7,nM
CHEMBL89578,CC1(C)CC(c2ccc(F)cc2)=C(c2ccc(S(C)(=O)=O)cc2)C1,IC50,15.14,nM
CHEMBL52889,COc1ccc(-c2cc(F)c(F)cc2-c2ccc(S(C)(=O)=O)cc2)cc1OC,IC50,338.84,nM
CHEMBL29920,NS(=O)(=O)c1ccc(-n2nc(C(F)(F)F)cc2-c2ccccc2)cc1,IC50,32.36,nM
CHEMBL29844,COc1c(C)cc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,IC50,66.07,nM
CHEMBL418859,CS(=O)(=O)c1ccc(-n2cnc(Cl)c2-c2ccc(F)cc2)cc1,IC50,14.0,nM
CHEMBL115864,CS(=O)(=O)c1ccc(-n2c(CO)nc(Cl)c2-c2ccc(F)cc2)cc1,IC50,10000.0,nM
CHEMBL44516,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccc(Cl)cc2)cc1,IC50,109.65,nM
CHEMBL45197,CSc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1,IC50,158.49,nM
CHEMBL44829,CN(C)c1cccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)c1,IC50,3235.94,nM
CHEMBL296447,CS(=O)(=O)c1ccc(-n2cc(C(F)(F)F)nc2-c2ccc3c(c2)OCO3)cc1,IC50,169.82,nM
CHEMBL298476,Cc1ccc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)cc1Cl,IC50,3.02,nM
CHEMBL42408,COc1c(Cl)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(C)(=O)=O)cc2)cc1Cl,IC50,141.25,nM
CHEMBL43317,COc1c(F)cc(-c2nc(C(F)(F)F)cn2-c2ccc(S(N)(=O)=O)cc2)cc1F,IC50,30.2,nM
